Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Prem Nagar S.O (Ambala),13400309,,9.0,1.0,1.0,37.0,,8.0,15.0,105.0,,1.0,41.0,
Punjabi Mohalla S.O,13300109,,4.0,2.0,2.0,1.0,,4.0,6.0,18.0,,1.0,6.0,
Radaur S.O,13513301,,2.0,2.0,9.0,64.0,,39.0,7.0,60.0,,6.0,15.0,
Railly B.O,B4769,Panchkula Sector 8 S.O,,,1.0,3.0,,1.0,,,,,,
Railway Road Ambala City S.O,13400310,,7.0,,3.0,40.0,,17.0,7.0,83.0,,2.0,14.0,
Raipur Rani S.O,13420401,,5.0,1.0,12.0,44.0,,26.0,4.0,41.0,,8.0,5.0,
Raiwali B.O,I5071,Barwala S.O (Panchkula),,,3.0,4.0,,5.0,,3.0,,,,
Rajo Kheri B.O,I1909,Barara S.O,,,2.0,3.0,,9.0,,7.0,,,,
Rajouli B.O,I1910,Barara S.O,,,2.0,,,5.0,,4.0,,,,
Ram Pura Olony S.O,13500105,,12.0,1.0,4.0,37.0,,8.0,6.0,111.0,,28.0,15.0,
Ramgarh B.O,I5072,Barwala S.O (Panchkula),,,4.0,5.0,,8.0,,4.0,,,,
Rampur Khadar B.O,I3765,Buriya S.O,,,2.0,3.0,,3.0,,2.0,,,,
Rasulpur B.O,F7643,Sadhaura S.O,,,1.0,,,2.0,,5.0,,,,
Rattewali B.O,I5073,Barwala S.O (Panchkula),,,3.0,1.0,,,,4.0,,,,
Sabapur B.O,I3766,Buriya S.O,,,1.0,5.0,,4.0,,1.0,,,,
Sadar Bazar S.O (Ambala),13300110,,26.0,2.0,14.0,65.0,,37.0,25.0,217.0,,11.0,60.0,
Sadhaura S.O,13320401,,8.0,1.0,14.0,41.0,0.0,21.0,1.0,68.0,,2.0,4.0,
Safilpur B.O,B5747,Sadhaura S.O,,,2.0,3.0,,2.0,,2.0,,,,
Saha S.O,13310401,,,,5.0,14.0,,16.0,1.0,40.0,,1.0,4.0,
Sahela B.O,E9254,Sarawan S.O,,,,,,2.0,,2.0,,,,
Salehpur B.O,C4202,Sadhaura S.O,,,,6.0,,,,,,,,
Salimpur Banger B.O,J7332,Chhachrauli S.O,,,,2.0,,1.0,,7.0,,,,
